Site ID,AER Field Centre,PETRINEX FACILITY SUBTYPE,Well Status,EMISSION TYPE,MAJOR EQUIPMENT,COMPONENT SERVICE TYPE,COMPONENT TYPE,MEASUREMENT DEVICE,Leak TAG,THC Leak Rate (sm3/hr)
Well Gas 17,Midnapore,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Separator,Process Gas,Regulator,Highflow,201913,0.049961543
Well Gas 171,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,SCVF,Calscan,201210,50.54761053
Well Gas 177,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Well Pump,Process Gas,Pump Seal,Highflow,204078,0.063182772
Well Gas 177,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204079,0.031591386
Well Gas 177,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Regulator,Highflow,204080,0.031591386
Well Gas 177,Red Deer,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Connector,Highflow,204081,0.046763397
Well Gas 178,Grande Prairie,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,201479,0.172949468
Well Gas 178,Grande Prairie,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,SCVF,Highflow,201480,0.171961536
Well Gas 18,Grande Prairie,Gas Multiwell Group,GAS FLOW,Leak,Wellhead,Process Gas,Connector,Highflow,200812,0.080459568
Well Gas 183,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Liquid Pump,Process Gas,Control Valve,Highflow,204054,0.015691334
Well Gas 183,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204052,0.015670894
Well Gas 183,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204051,0.015670894
Well Gas 183,Midnapore,Gas Multiwell Group,GAS PUMP,Leak,Separator,Process Gas,Valve,Highflow,204053,0.047012682
Well Gas 189,Midnapore,Gas Multiwell effluent,GAS PUMP,Leak,Wellhead,Process Gas,Connector,Highflow,204039,0.047560724
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204096,0.281626392
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204097,0.469377321
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204099,0.015645911
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204100,0.156459107
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Unlit Flare,Flare KnockOut Drum,Process Gas,Open-Ended Line,Estimate,201369,0.220319492
Well Gas 20,Red Deer,Gas Single,GAS FLOW,Leak,Separator,Process Gas,Meter,Highflow,204098,0.174519925
Well Gas 27,Midnapore,Gas Multiwell Group,GAS FLOW,Leak,Wellhead,Process Gas,SCVF,Highflow,204063,0.046755019
Well Gas 27,Midnapore,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204064,0.062326491
Well Gas 37,Grande Prairie,Gas Single,GAS FLOW,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,200852,0.113964978
Well Gas 37,Grande Prairie,Gas Single,GAS FLOW,Leak,Reciprocating Compressor,Process Gas,Compressor Seal,Highflow,200853,2.376983825
Well Gas 40,Red Deer,Gas Single,GAS FLOW,Vent,Production Tank (fixed roof),Light Liquid,Open-Ended Line,Estimate,204095,0.073908937
Well Gas 40,Red Deer,Gas Single,GAS FLOW,Leak,Wellhead,Process Gas,SCVF,Highflow,204094,0.030943039
Well Gas 5,Red Deer,Gas Single,GAS FLOW,Leak,Wellhead,Process Gas,Valve,Highflow,201343,0.256798373
Well Gas 57,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204073,0.211707309
Well Gas 57,Red Deer,Gas Multiwell Group,GAS FLOW,Vent,Wellhead,Process Gas,Open-Ended Line,Highflow,204074,1.224878003
Well Gas 58,Midnapore,Gas Multiwell Group,GAS FLOW,Leak,Separator,Process Gas,Connector,Highflow,204056,0.308563788
Well Gas 61,Red Deer,Gas Single,GAS FLOW,Vent,Production Tank (fixed roof),Process Gas,Open-Ended Line,Estimate,1,0.033086524
Well Gas 63,Red Deer,Gas Multiwell effluent,GAS FLOW,Leak,Line Heater,Process Gas,Regulator,Highflow,204057,0.031341788
Well Gas 63,Red Deer,Gas Multiwell effluent,GAS FLOW,Leak,Line Heater,Process Gas,Connector,Highflow,204058,0.062683576
Well Gas 63,Red Deer,Gas Multiwell effluent,GAS FLOW,Leak,Wellhead,Process Gas,SCVF,Highflow,204059,0.031341788
Well Gas 66,Red Deer,Gas Single,GAS FLOW,Leak,Production Tank (fixed roof),Process Gas,Connector,Highflow,201210,1.73E-05
Well Gas 75,Red Deer,Gas Multiwell Group,GAS FLOW,Leak,Wellhead,Process Gas,Valve,Highflow,204071,0.015274108
Well Gas 79,Grande Prairie,Gas Multiwell effluent,GAS FLOW,Leak,Wellhead,Process Gas,Valve,Highflow,200845,0.016280982
Well Gas 81,Grande Prairie,Gas Multiwell proration outside SE AB,GAS FLOW,Leak,Wellhead,Process Gas,Connector,Estimate,200826,0.467382218
Well Gas 89,Red Deer,Gas Multiwell effluent,GAS FLOW,Leak,Wellhead,Process Gas,Connector,Highflow,201482,0.048253138
